"","model","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16"
"106","Skoda Fabia",10320,1198,44,155,16.5,7.8,4.8,5.9,140,1115,3992,1642,1498,2462,440,300
"107","Skoda Fabia Combi",10920,1198,44,156,16.8,7.8,4.8,5.9,140,1140,4239,1642,1498,2462,440,480
"108","Skoda Roomster",13030,1198,51,158,15.9,8.7,5.3,6.6,155,1225,4205,1684,1607,2617,440,450
"109","Skoda Octavia",15190,1390,59,173,14.2,9.6,5.6,7,167,1285,4569,1769,1445,2575,585,560
"110","Skoda Octavia Combi",16140,1390,59,172,14.3,9.6,5.6,7,167,1300,4569,1769,1450,2575,585,580
"111","Skoda Superb",23250,1390,92,201,10.5,9,5.4,6.8,157,1500,4838,1817,1462,2758,545,565
"112","Skoda Superb Combi",23950,1390,92,199,10.6,9,5.6,6.9,159,1504,4838,1817,1510,2758,563,603
"113","Skoda Yeti",17990,1197,77,175,11.8,7.9,5.9,6.6,154,1345,4223,1793,1691,2578,545,405
"114","Toyota iQ",12900,998,50,150,16.6,4.9,3.9,4.3,99,920,2985,1680,1500,2000,290,32
"115","Toyota Aygo",9575,998,50,157,14.2,5.5,3.9,4.5,106,875,3415,1615,1465,2340,305,130
"116","Toyota Yaris",11675,998,51,155,15.7,6,4.5,5,118,1060,3785,1695,1530,2460,380,275
"117","Toyota Verso",21150,1598,97,185,11.7,8.6,5.6,6.7,158,1495,4440,1790,1620,2780,630,484
"118","Toyota Auris",16650,1329,73,175,13.1,7.2,5.1,5.9,136,1295,4245,1760,1515,2600,425,354
"119","Toyota Avensis",22700,1598,97,200,10.4,8.3,5.4,6.5,152,1440,4695,1810,1480,2700,510,509
"120","Toyota Avensis Combi",23700,1598,97,195,10.6,8.4,5.4,6.5,153,1475,4765,1810,1480,2700,475,543
"121","Toyota Urban Cruiser",19200,1329,74,175,12.5,6.6,4.9,5.5,129,1195,3930,1725,1525,2460,395,314
"122","Volvo C30",19900,1596,74,185,11.8,9.3,5.7,7,167,1278,4266,1782,1447,2640,422,278
"123","Volvo S40",21890,1596,74,185,11.9,9.2,5.8,7.1,169,1315,4476,1770,1454,2640,485,404
"124","Volvo V50",23690,1596,74,185,12,9.2,5.8,7.1,169,1328,4522,1770,1457,2640,522,417
"125","Volvo V70",30200,1999,107,200,11.3,11.7,6.9,8.6,206,1567,4823,1861,1547,2816,613,575
